ปาง	NN	B_ANT	B_CLS
แสดงยมกปาฏิหาริย์	NN	E_ANT	I_CLS
_	PU	O	I_CLS
เป็น	VV	O	I_CLS
พระพุทธรูป	NN	O	I_CLS
อยู่	VV	O	I_CLS
ใน	PS	O	I_CLS
พระอิริยาบถ	NN	O	I_CLS
ประทับ	VV	O	I_CLS
_	PU	O	I_CLS
(	PU	O	I_CLS
นั่ง	VV	O	I_CLS
)	PU	O	I_CLS
_	PU	O	I_CLS
บน	PS	O	I_CLS
บัลลังก์	NN	O	I_CLS
_	PU	O	I_CLS
ห้อย	VV	O	I_CLS
พระบาท	NN	O	I_CLS
ทั้ง	AJ	O	I_CLS
สอง	NU	B_NUM	I_CLS
วาง	VV	O	I_CLS
บน	PS	O	I_CLS
ดอก	NN	O	I_CLS
บัวที่	NN	O	I_CLS
รองรับ	VV	O	I_CLS
_	PU	O	I_CLS
พระชานุ	NN	O	I_CLS
_	PU	O	I_CLS
(	PU	O	I_CLS
เข่า	NN	O	I_CLS
)	PU	O	I_CLS
_	PU	O	I_CLS
ยก	VV	O	I_CLS
ตั้ง	VV	O	I_CLS
แบบ	NN	O	I_CLS
ประทับ	VV	O	I_CLS
บน	PS	O	I_CLS
พระเก้าอี้	NN	O	I_CLS
_	PU	O	I_CLS
พระหัตถ์	NN	O	I_CLS
ซ้าย	NN	O	I_CLS
วาง	VV	O	I_CLS
บน	PS	O	I_CLS
พระเพลา	NN	O	I_CLS
_	PU	O	I_CLS
(	PU	O	I_CLS
ตัก	NN	O	I_CLS
)	PU	O	I_CLS
_	PU	O	I_CLS
พระหัตถ์	NN	O	I_CLS
ขวา	NN	O	I_CLS
ยก	VV	O	I_CLS
ขึ้น	AV	O	I_CLS
เสมอ	VV	O	I_CLS
พระอุระ	NN	O	I_CLS
_	PU	O	I_CLS
(	PU	O	I_CLS
อก	NN	O	I_CLS
)	PU	O	I_CLS
_	PU	O	I_CLS
จีบ	VV	O	I_CLS
นิ้ว	NN	O	I_CLS
พระหัตถ์	NN	O	I_CLS
_	PU	O	I_CLS
แสดง	VV	O	I_CLS
ยมกปาฏิหาริย์	NN	O	I_CLS
_	PU	O	I_CLS
คือ	VV	O	I_CLS
ปาฏิหาริย์	NN	O	I_CLS
ที่	CC	O	I_CLS
แสดง	VV	O	I_CLS
เป็น	VV	O	I_CLS
คู่	NN	O	I_CLS
_	PU	O	I_CLS
ๆ	PU	O	I_CLS
,	PU	O	I_CLS
_	PU	O	I_CLS
เป็น	VV	O	I_CLS
ปาฏิหาริย์	NN	O	I_CLS
ที่	CC	O	I_CLS
พระพุทธเจ้า	NN	B_GOD	I_CLS
ทรง	VV	O	I_CLS
บันดาล	VV	O	I_CLS
ท่อ	NN	O	I_CLS
น้ำ	NN	O	I_CLS
_	PU	O	I_CLS
ท่อ	NN	O	I_CLS
ไฟ	NN	O	I_CLS
_	PU	O	I_CLS
ให้	CC	O	I_CLS
พวย	VV	O	I_CLS
พุ่ง	VV	O	I_CLS
ออก	AV	O	I_CLS
จาก	PS	O	I_CLS
ส่วน	NN	O	I_CLS
ของ	PS	O	I_CLS
พระ	NN	O	I_CLS
กาย	NN	O	I_CLS
เป็น	VV	O	I_CLS
คู่	NN	O	I_CLS
_	PU	O	I_CLS
ๆ	PU	O	I_CLS
_	PU	O	I_CLS
กัน	PR	O	I_CLS
_	PU	O	I_CLS
โดย	CC	O	I_CLS
ทรง	VV	O	I_CLS
กระทำ	VV	O	I_CLS
ที่	PS	O	I_CLS
ต้น	NN	O	I_CLS
มะม่วง	NN	O	I_CLS
_	PU	O	I_CLS
ซึ่ง	CC	O	I_CLS
เรียก	VV	O	I_CLS
ว่า	CC	O	I_CLS
_	PU	O	I_CLS
คัณฑามพพฤกษ์	NN	O	I_CLS
.	PU	O	E_CLS
