ที่	CC	O	B_CLS
ตั้ง	VV	O	I_CLS
อยู่	VV	O	I_CLS
ที่	PS	O	I_CLS
ตำบลช่องไม้แก้ว	NN	O	I_CLS
_	PU	O	I_CLS
อำเภอทุ่งตะโก	NN	O	I_CLS
_	PU	O	I_CLS
จังหวัดชุมพร	NN	O	I_CLS
_	PU	O	I_CLS
พบ	VV	O	I_CLS
หลักฐาน	NN	O	I_CLS
ทาง	NN	O	I_CLS
โบราณคดี	NN	O	I_CLS
สำคัญ	VV	O	I_CLS
คือ	VV	O	I_CLS
_	PU	O	I_CLS
เศษ	NN	O	I_CLS
ภาชนะ	NN	O	I_CLS
ดิน	NN	O	I_CLS
เผา	VV	O	I_CLS
แบบ	NN	O	I_CLS
ซาหวิ่น	NN	O	I_CLS
_	PU	O	I_CLS
–	NN	O	I_CLS
_	PU	O	I_CLS
กาลา	NN	O	I_CLS
นาย	NN	O	I_CLS
_	PU	O	I_CLS
(	PU	O	I_CLS
Sa	NN	O	I_CLS
_	PU	O	I_CLS
Huynh	NN	O	I_CLS
_	PU	O	I_CLS
–	NN	O	I_CLS
_	PU	O	I_CLS
Kalanay	NN	O	I_CLS
_	PU	O	I_CLS
Related	NN	O	I_CLS
_	PU	O	I_CLS
Pottery	NN	O	I_CLS
)	PU	O	E_CLS
