{'loss': 0.5688, 'grad_norm': 2.4384899139404297, 'learning_rate': 1.52130898021309e-05, 'epoch': 3.18}                                                                
{'loss': 0.5587, 'grad_norm': 2.6296679973602295, 'learning_rate': 1.5197869101978693e-05, 'epoch': 3.18}                                                              
{'loss': 0.6392, 'grad_norm': 2.265272378921509, 'learning_rate': 1.5182648401826485e-05, 'epoch': 3.19}                                                               
{'loss': 0.544, 'grad_norm': 2.6627919673919678, 'learning_rate': 1.5167427701674277e-05, 'epoch': 3.2}                                                                
{'loss': 0.6383, 'grad_norm': 2.0293221473693848, 'learning_rate': 1.5152207001522072e-05, 'epoch': 3.21}                                                              
{'loss': 0.6457, 'grad_norm': 2.0332140922546387, 'learning_rate': 1.5136986301369865e-05, 'epoch': 3.21}                                                              
{'loss': 0.6165, 'grad_norm': 1.8413976430892944, 'learning_rate': 1.5121765601217658e-05, 'epoch': 3.22}                                                              
{'loss': 0.7815, 'grad_norm': 2.010831832885742, 'learning_rate': 1.510654490106545e-05, 'epoch': 3.23}                                                                
{'loss': 0.6508, 'grad_norm': 2.194495439529419, 'learning_rate': 1.5091324200913245e-05, 'epoch': 3.23}                                                               
{'loss': 0.5397, 'grad_norm': 2.0703041553497314, 'learning_rate': 1.5076103500761036e-05, 'epoch': 3.24}                                                              
{'loss': 0.632, 'grad_norm': 2.1450486183166504, 'learning_rate': 1.5060882800608829e-05, 'epoch': 3.25}                                                               
{'loss': 0.5879, 'grad_norm': 2.4144198894500732, 'learning_rate': 1.5045662100456622e-05, 'epoch': 3.25}                                                              
{'loss': 0.7087, 'grad_norm': 1.984943151473999, 'learning_rate': 1.5030441400304416e-05, 'epoch': 3.26}                                                               
{'loss': 0.6401, 'grad_norm': 3.064763307571411, 'learning_rate': 1.501522070015221e-05, 'epoch': 3.27}                                                                
{'loss': 0.8012, 'grad_norm': 2.617279529571533, 'learning_rate': 1.5000000000000002e-05, 'epoch': 3.27}                                                               
{'loss': 0.7278, 'grad_norm': 2.679396390914917, 'learning_rate': 1.4984779299847793e-05, 'epoch': 3.28}                                                               
{'loss': 0.7171, 'grad_norm': 2.333040237426758, 'learning_rate': 1.4969558599695586e-05, 'epoch': 3.29}                                                               
{'loss': 0.603, 'grad_norm': 2.040320873260498, 'learning_rate': 1.495433789954338e-05, 'epoch': 3.29}                                                                 
{'loss': 0.6779, 'grad_norm': 1.7772952318191528, 'learning_rate': 1.4939117199391173e-05, 'epoch': 3.3}                                                               
{'loss': 0.6954, 'grad_norm': 2.4383366107940674, 'learning_rate': 1.4923896499238966e-05, 'epoch': 3.31}                                                              
{'loss': 0.6498, 'grad_norm': 1.9722548723220825, 'learning_rate': 1.4908675799086757e-05, 'epoch': 3.32}                                                              
{'loss': 0.5222, 'grad_norm': 2.1780686378479004, 'learning_rate': 1.4893455098934552e-05, 'epoch': 3.32}                                                              
{'loss': 0.6483, 'grad_norm': 2.2909677028656006, 'learning_rate': 1.4878234398782345e-05, 'epoch': 3.33}                                                              
{'loss': 0.7173, 'grad_norm': 5.03773832321167, 'learning_rate': 1.4863013698630138e-05, 'epoch': 3.34}                                                                
{'loss': 0.5643, 'grad_norm': 2.468301773071289, 'learning_rate': 1.484779299847793e-05, 'epoch': 3.34}                                                                
{'loss': 0.6013, 'grad_norm': 1.8495336771011353, 'learning_rate': 1.4832572298325725e-05, 'epoch': 3.35}                                                              
{'loss': 0.6726, 'grad_norm': 2.5188863277435303, 'learning_rate': 1.4817351598173518e-05, 'epoch': 3.36}                                                              
{'loss': 0.7278, 'grad_norm': 1.7388595342636108, 'learning_rate': 1.4802130898021309e-05, 'epoch': 3.36}                                                              
{'loss': 0.5264, 'grad_norm': 2.3570432662963867, 'learning_rate': 1.4786910197869102e-05, 'epoch': 3.37}                                                              
{'loss': 0.6281, 'grad_norm': 2.1446874141693115, 'learning_rate': 1.4771689497716896e-05, 'epoch': 3.38}                                                              
{'loss': 0.6023, 'grad_norm': 2.2510459423065186, 'learning_rate': 1.475646879756469e-05, 'epoch': 3.38}                                                               
{'loss': 0.6606, 'grad_norm': 1.9156309366226196, 'learning_rate': 1.4741248097412482e-05, 'epoch': 3.39}                                                              
{'loss': 0.6085, 'grad_norm': 1.780726432800293, 'learning_rate': 1.4726027397260275e-05, 'epoch': 3.4}                                                                
{'loss': 0.7267, 'grad_norm': 4.403779983520508, 'learning_rate': 1.471080669710807e-05, 'epoch': 3.4}                                                                 
{'loss': 0.706, 'grad_norm': 2.409489154815674, 'learning_rate': 1.469558599695586e-05, 'epoch': 3.41}                                                                 
{'loss': 0.7342, 'grad_norm': 2.1466665267944336, 'learning_rate': 1.4680365296803653e-05, 'epoch': 3.42}                                                              
{'loss': 0.6758, 'grad_norm': 2.0876388549804688, 'learning_rate': 1.4665144596651446e-05, 'epoch': 3.42}                                                              
{'loss': 0.5991, 'grad_norm': 1.8800798654556274, 'learning_rate': 1.464992389649924e-05, 'epoch': 3.43}                                                               
{'loss': 0.6059, 'grad_norm': 2.162651777267456, 'learning_rate': 1.4634703196347034e-05, 'epoch': 3.44}                                                               
{'loss': 0.8069, 'grad_norm': 2.798677682876587, 'learning_rate': 1.4619482496194826e-05, 'epoch': 3.45}                                                               
{'loss': 0.4832, 'grad_norm': 2.470370054244995, 'learning_rate': 1.4604261796042618e-05, 'epoch': 3.45}                                                               
{'loss': 0.6712, 'grad_norm': 2.7972753047943115, 'learning_rate': 1.4589041095890412e-05, 'epoch': 3.46}                                                              
