text,ner,triples
ที่ตั้ง ตำบลปากตะโก อำเภอทุ่งตะโก จังหวัดชุมพร   ที่มาของชื่อปากน้ำตะโก มาจากชื่อคลองโก และชื่อต้นตะโก เป็นพื้นที่ที่ปากน้ำตะโกไหลลงสู่ทะเล บริเวณใกล้เคียงเป็นชุมชนชาวประมงพื้นบ้าน ชาวบ้านประกอบอาชีพเกษตรกรรมและประมงควบคู่กันไป นอกชายฝั่งมีเกาะน้อยใหญ่กว่า 10 เกาะ บางเกาะมีการทำสัมปทานรังนกอยู่ด้วย โดยชุมชนบริเวณนี้เป็นชาวไทย-จีน เช่นเดียวกับที่ปากน้ำชุมพร ดังปรากฏศาลเจ้าจีนอยู่ด้วย ในพื้นที่มีเรื่องราวเกี่ยวกับ “ไอ้ด่างบางมุด” ซึ่งเป็นจระเข้กินคน เข้ามากินคนบริเวณคลองปากน้ำตะโกถึงคลองบางมุด,[],[]
ชุมชนในตำบลหาดส้มแป้น อำเภอเมือง จังหวัดระนอง เป็นพื้นที่ราบท่ามกลางหุบเขา ไม่มีเขตติดต่อกับทะเล  แต่มีแหล่งต้นน้ำที่ไหลผ่านตัวเมืองจังหวัดระนอง  เดิมมีชาวจีนเข้ามาตั้งรกรากและหาแร่ดีบุก ซึ่งเป็นทรัพยากรหลักของเมืองระนองในอดีต สันนิษฐานว่าหาดส้มแป้น มาจากคำว่า “ห้วยซ้มเปียน”  ในภาษาจีน แปลว่าลึกเข้าไปในหุบเขา  คือ ลึกเข้าไปเพื่อไปหาแร่ในหุบเขา ซึ่งแร่ที่ว่านั้นก็คือ แร่ดีบุก ดังนั้นที่นี่จึงเคยเป็นชุมชนที่เกี่ยวข้องกับการทำเหมืองแร่มากว่า 100 ปี  นอกจากนี้ ยังมีชื่อเสียงด้านดินขาว ที่สามารถนำมาทำประโยชน์ได้หลายอย่าง หนึ่งในนั้นคือการทำเครื่องปั้นดินเผา  จึงมีการก่อตั้งกลุ่มเซรามิก และมีข้อสันนิษฐานว่าบริเวณนี้อาจเกี่ยวข้องกับเส้นทางข้ามคาบสมุทรเนื่องจากอยู่บริเวณทางเชื่อมระหว่างช่องเขาและที่ราบชายฝั่งทะเลตะวันตก,[],[]
สุวรรณภูมิ (Suvarnabhumi) หรือดินแดนทองคำที่ปรากฏชื่อในตำนาน นิทาน และคัมภีร์ในพุทธศาสนา ซึ่งกล่าวถึงดินแดนทองคำอันอุดมสมบูรณ์ ที่อาจเป็นคำเปรียบเปรยของดินแดนที่นำมาซึ่งความร่ำรวยของประชาชนในพื้นที่ จึงเป็นเหตุให้ผู้คนต่างถิ่นพยายามเดินทางมาเพื่อแสวงโชค อาทิเช่น กลุ่มนักเดินทางในประเทศอินเดียและจากประเทศจีนที่เดินทางมาเพื่อแลกเปลี่ยนทรัพยากรกับผู้คนท้องถิ่น หรือ แสวงหาทรัพยากรอันมีค่าจากธรรมชาติ ความสำคัญของดินแดนแห่งนี้มาจากธรรมชาติทั้งที่ตั้งและศักยภาพ จึงส่งผลให้ผู้คนต่างถิ่นอยากมาแลกเปลี่ยนสิ่งของและทำให้ผู้คนในท้องถิ่นได้รับวิทยาการใหม่ ๆ จนทำให้ดินแดนแห่งนี้มีความหลากหลายและพัฒนาการจนมาเป้นเมืองไทยในปัจจุบัน สำหรับการศึกษาในทางโบราณคดี สันนิษฐานว่า ได้แก่ ช่วงพุทธศตวรรษที่ 2 - 9 ,[],[]
ตั้งอยู่ที่บ้านในหยาน หมู่ที่ 6 ตำบลพะโต๊ะ อำเภอพะโต๊ะ จังหวัดชุมพร  อยู่บริเวณที่คลองปากทรง (คลองพะโต๊ะ) และคลองสอก(คลองเสาะ) ไหลมารวมเป็นแม่น้ำหลังสวน บริเวณพื้นที่โดยรอบแหล่งโบราณคดีเป็นพื้นที่ลาดเชิงเขา มีลักษณะเป็นช่องเขาที่เชื่อมไปยังพื้นที่ฝั่งตะวันตกของคาบสมุทรมลายู โดยสามารถใช้เป็นเส้นทางไปยังบ้านบกไฟและบ้านราชกรูดในจังหวัดระนอง ซึ่งอยู่ใกล้ชายฝั่งทะเล โบราณวัตถุสำคัญที่พบ ได้แก่ ลูกปัดดินเผา ขวานหินขัด เศษภาชนะดินเผาเนื้อดิน ชิ้นส่วนหน้ากลองมโหระทึกสำริด ลูกปัดแก้ว ลูกปัดแก้วที่หลอมติดกัน และมีรายงานว่าพบเศษภาชนะดินเผาเนื้อละเอียดคุณภาพดี ที่สันนิษฐานว่านำเข้ามาจากอินเดีย (fine grey pottery) ,[],[]
ที่ตั้ง ตำบลปากน้ำ อำเภอเมืองชุมพร จังหวัดชุมพร เป็นปากน้ำที่คลองท่าตะเภาไหลลงสู่ทะเล ห่างจากตัวเมืองชุมพรประมาณ 10 กิโลเมตร บริเวณใกล้เคียงเป็นท่าเทียบเรือและชุมชนชาวประมงขนาดใหญ่ โดยเป็นชุมชนชาวไทย-จีนไหหลำและแต้จิ๋วดั้งเดิม ดังปรากฏศาลเจ้าชาวจีนอยู่ในชุมชน มีแหล่งท่องเที่ยวที่โดดเด่น ได้แก่ เขามัทรี อนุสาวรีย์ยุวชนทหาร  และมาลิกเจดีย์บนเกาะมัตโพน เป็นต้น,[],[]
ตั้งอยู่ที่เชิงสะพานท่านางสังข์ ตำบลบางหมาก อำเภอเมือง จังหวัดชุมพร อนุสาวรีย์ยุวชนทหาร สร้างขึ้นโดยชาวจังหวัดชุมพร เพื่อรำลึกถึงวีรกรรมของยุวชนทหารที่ช่วยปกป้องบ้านเมืองในช่วงสงครามโลกครั้งที่ 2 ครั้งนั้นทหารญี่ปุ่นได้ยกพลขึ้นบก ที่บ้านแหลมดิน และหาดคอสน จังหวัดชุมพร เมื่อวันที่ 8 กรกฎาคม พ.ศ.2484 แล้วเคลื่อนกำลังไปตามถนนสายชุมพร - ปากน้ำ ร้อยเอกถวิล นิยมเสน ผู้บังคับหน่วยยุวชนทหารที่ 52 จึงได้นำกำลังยุวชนทหารเข้าปฏิบัติต่อต้านข้าศึกอย่างเหนียวแน่นบริเวณสะพานท่านางสังข์ จนสามารถตรึงกำลังข้าศึกให้อยู่กับที่ได้ กระทั่งได้รับคำสั่งให้ยุติการต่อสู้ อนุสาวรีย์แห่งนี้สร้างเสร็จเมื่อวันที่ 3 ธันวาคม พ.ศ.2524  ต่อมาใน พ.ศ.2527 จังหวัดชุมพรได้ทำการปรับปรุงอนุสาวรีย์ โดยสร้างประติมากรรมรูปยุวชนทหารขึ้นใหม่ให้มีขนาดหนึ่งเท่าครึ่งของคนจริง มีร้อยเอกนพดล สุวรรณสมบัติเป็นประติมากร รวมทั้งได้ปรับปรุงฐานอนุสาวรีย์ให้มีความเหมาะสมสวยงามยิ่งขึ้น  และมีการทำพิธีเปิดอนุสาวรีย์อย่างเป็นทางการในวันที่ 8 ธันวาคม พ.ศ.2533 โดยมีพลเอกชาติชาย ชุณนะวัณ นายกรัฐมนตรีในขณะนั้นเป็นประธาน และได้จัดให้มีพิธีวางพวงมาลาในวันที่ 8 ธันวาคมของทุกปี,[],[]
ภูเขารับร่อหรือเขาพระเป็นภูเขาหินปุนวางตัวตามแนวทิศเหนือ - ใต้ ยาว 2 กิโลเมตร กว้าง 1.25 กิโลเมตร ยอดเขาสูง 183 เมตร,[],[]
โบราณสถานภูเขารับร่อ (วัดเทพเจริญ) ตั้งอยู่ที่หมูที่ 4 บ้านท่าข้าม ตำบลท่าข้าม อำเภอท่าแซะ มีการพบภาชนะดินเผา ขวานหินขัด ยุคก่อนประวัติศาสตร์ พระพุทธรูปปูนปั้น 81 องค์ จิตรกรรมพระไสยาสน์ กำหนดอายุภาพรวมร่วมสมัยอยุธยา – รัตนโกสินทร์ ,[],[]
ตั้งอยู่ที่ตำบลบางนอน อำเภอเมืองระนอง จังหวัดระนอง สุสานเจ้าเมืองระนอง หรือสุสานคอชู้เจียง ณ ระนอง ชาวจีนฮกเกี้ยนที่มาจากเมืองเจียงจิวหู เป็นเจ้าภาษีนายอากร เป็นเจ้าเมืองระนองคนแรกที่มีบทบาทอย่างมากในการพัฒนาบ้านเมืองให้เจริญก้าวหน้าดำรงตำแหน่งการปกครองเป็นหลวงรัตนเศรษฐีพระรัตนเศรษฐี และพระยารัตนเศรษฐี ตามลำดับจนถึงสมัยพระบาทสมเด็จ พระจุลจอมเกล้าเจ้าอยู่หัวรัชกาลที่ 5 ได้พระราชทานตำแหน่งให้เป็นพระยาดำรงสุจริตมหิศรภักดี ซึ่งเป็นตำแหน่งสุดท้ายก่อนจะถึงแก่อสัญกรรมในวันพฤหัสบดี เดือน 7 ขึ้น 8 ค่ำ ปีมะเมียจัดวาศก ศักราช 1244 หรือ พ.ศ. 2425 พื้นที่สุสาน ในปัจจุบันเป็นที่ดินพระราชทานจากรัชกาลที่ 5 เพื่อเป็นเกียรติประวัติแก่ตระกูล ณ ระนองสุสานเจ้าเมืองระนองตั้งอยู่ที่ลาดเขาระฆังทองหันหน้าออกสู่ทะเล พื้นที่สุสานตกแต่งด้วยประติมากรรมศิลาแกรนิตลอยตัวรูปบุคคล รูปสัตว์ และประติมากรรมนูนสูงโดยรอบ ประติมากรรมเหล่านี้สันนิษฐานว่านำเข้ามาจากประเทศจีน ถือเป็นสุสานสำคัญที่เกี่ยวเนื่องกับบุคคลสำคัญทางประวัติศาสตร์ในด้านการพัฒนาด้านสังคมและเศรษฐกิจของเมืองระนอง จนกระทั่งมีความเจริญรุ่งเรื่องจนถึงทุกวันนี้ ทำให้ท่านเป็นที่รู้จักและเคารพนับถือของชาวระนองและจังหวัดใกล้เคียง มีอายุสมัยรัตนโกสินทร์ สร้างเมื่อปี พ.ศ. 2425 ประกาศขึ้นทะเบียนโบราณสถานในราชกิจจานุเบกษา เล่ม 116 ตอนพิเศษ 7 ง หน้า 1 วันที่ 22 มกราคม 2542 พื้นที่โบราณสถานประมาณ 12 ไร่ 2 งาน 98 ตารางวา,[],[]
"ตั้งอยู่ที่หมู่ที่ 1 บ้านขุนแสน ตำบลนาชะอัง อำเภอเมือง จังหวัดชุมพร วัดสามแก้ว มีประวัติความเป็นมาตามจารึกที่ฐานพระพุทธรูปประธานในอุโบสถสรุปความได้ว่า ในระหว่างพ.ศ.2467 - 2468 พระธรรมวโรดม (เช่ง อุตตโม)แห่งวัดราชาธิวาส ครั้งยังเป็นพระธรรมโกษาจารย์ กับหลวงศรีสุพรรณดิฐ (เผียน ชุมวรฐายี)นายอำเภอท่าแซะ จังหวัดชุมพร ในขณะนั้น ได้ร่วมมือกับทายกทายิกา ช่วยกันพัฒนาวัดสามแก้ว ซึ่งแต่เดิมเป็นวัดร้าง ให้กลับมีพระสงฆ์จำพรรษาดังแต่ก่อน โดยได้ช่วยกันถากถางปรับพื้นที่บริเวณวัด ซึ่งมีต้นไม้ขึ้นรกให้เป็นระเบียบเรียบร้อยมีการบริจาคทรัพย์สร้างเสนาสนะต่างๆ รวมทั้งสร้างอุโบสถจนสำเร็จ และได้รับพระราชทานวิสุงคามสีมาเมื่อวันที่ 1 มกราคม พ.ศ.2467 ในพระอุโบสถมีภาพจิตรกรรมฝาผนัง ฝีมือพระยาอนุศาสน์จิตรกร ช่างหลวงคนสำคัญในรัชกาลที่ 6 ซึ่งพระธรรมวโรดม (เช่ง อุตตโม)เจ้าอาวาสวัดราชาธิวาสได้เชื้อเชิญให้ท่านไปเขียนภาพให้ในระหว่าง พ.ศ.2471 - 2473 ดังปรากฎความตามจารึกที่ผนังด้านหลังพระพุทธรูปประธาน 
อนึ่ง ชื่อวัดสามแก้วพ้องกับชื่อแหล่งโบราณคดีเขาสามแก้วที่อยู่ใกล้เคียงในตำบลเดียวกัน แต่ในบริเวณวัดสามแก้ว ไม่ปรากฏหลักฐานทางโบราณคดีที่ร่วมสมัยเดียวกับที่พบในแหล่งโบราณคดีเขาสามแก้วแต่อย่างใด
",[],[]
